area,max_gray_value,min_gray_value,mean_gray_value,mean_value_R,mean_value_G,mean_value_B,std
46868.0,1.0,0.09641450980392156,0.24992560646755932,64.04175556883162,63.63320389178117,63.785888025945205,0.06378100932863895
46590.0,0.9963611764705882,0.06464196078431372,0.21414828652955065,53.239300279029834,54.886713887100235,55.873878514702724,0.06092879694953766
36.0,0.41796392156862744,0.39051294117647056,0.4043473638344227,98.52777777777777,104.52777777777777,102.52777777777777,0.10416018407282383
30550.0,0.4848380392156863,0.12372549019607842,0.2829323798594397,77.07446808510639,71.27443535188216,66.29266775777414,0.10416018407282383
46233.0,0.9216788235294117,0.0813243137254902,0.3403016871150944,96.664763264335,84.11437717647567,84.0532952652867,0.04819931832623048
45038.0,0.46274313725490196,0.12786235294117645,0.27181234804770527,67.22294506860872,69.59241085305742,72.68879612771437,0.05440003502691401
43398.0,0.4470568627450981,0.10128235294117648,0.25068136660314155,63.27798516060648,64.04488686114567,64.62502880317065,0.05313419287563857
44874.0,0.8925839215686274,0.07443450980392156,0.25364271620668594,63.66076124259036,64.73316397022775,67.14112849311405,0.05736927280562528
41732.0,0.6686901960784314,0.13690470588235293,0.28992176689539045,75.83156810121729,73.10152880283715,76.54658295792198,0.10216058270234402
45841.0,0.8716298039215685,0.11973647058823529,0.2740482428992626,67.76697716018411,70.2031151152898,72.93357474749678,0.05551076470438196
43271.0,0.9385352941176471,0.08926549019607842,0.29555465479076015,69.60513970095445,76.56904162140926,80.41404173696009,0.053368359911754
42416.0,0.44218823529411766,0.09179529411764706,0.2538911602817287,62.014310637495285,65.17507544322898,68.48759901923802,0.06354251142254774
41968.0,0.946303137254902,0.03963843137254902,0.3243199388703251,80.67208349218453,83.04939477697293,85.2320339306138,0.05640669114109811
42525.0,0.8652282352941176,0.06150117647058823,0.3783763716844763,98.1645620223398,96.05234567901235,95.84129335684891,0.07673898879289753
47011.0,1.0,0.09414823529411766,0.2888845995326083,72.95424475122843,73.64421092935696,75.97402735529982,0.04890059407972141
46484.0,0.3747345098039216,0.0934313725490196,0.18366329236625378,44.244385164787886,47.14897599173909,51.342999741846654,0.07489694898658401
32443.0,0.9966666666666666,0.07974078431372549,0.2629115705191548,74.60481459791018,65.14711956354222,63.56002835742687,0.01592093583812084
410.0,0.29160274509803924,0.2725603921568628,0.2850589708273553,70.44146341463414,73.43658536585366,71.90975609756097,0.01592093583812084
42563.0,0.4199113725490196,0.11445372549019607,0.2412546368128813,60.51711580480699,61.51244038249184,64.54986725559759,0.05440024243877051
40072.0,0.4272301960784314,0.10909490196078431,0.23141977072641792,58.00840986224795,59.06802755040926,61.414528848073466,0.08151665035175955
41582.0,0.654536862745098,0.05834470588235294,0.23162610459276778,58.49312202395267,59.15129142417392,59.88951950363138,0.0798399430457145
46300.0,0.8939003921568628,0.12103019607843137,0.3154410420276966,80.31611231101512,80.40794816414687,81.08801295896328,0.07192731789172256
44932.0,0.9994345098039217,0.14049803921568627,0.3048280319367131,73.77492655568415,78.37287456601086,83.02388053057955,0.0728001143340036
37982.0,0.6887521568627452,0.11625529411764705,0.2817694288109641,70.95682165236164,72.03804433679112,72.6333263124638,0.048626269794043546
69.0,0.5354227450980392,0.44181019607843136,0.490334470019892,142.8695652173913,120.7536231884058,114.95652173913044,0.048626269794043546
39047.0,0.38354666666666665,0.08338666666666666,0.19129296945812416,49.216405869849154,48.565088227008474,49.62214766819474,0.06959777356058824
40219.0,0.4071066666666666,0.0727678431372549,0.18556729529356186,46.944603296949204,47.29314503095552,48.68815733857132,0.06272398326406896
40825.0,0.666703137254902,0.04545176470588235,0.1910672666642652,47.63000612369871,48.767372933251686,51.492345376607474,0.07829512723651917
40489.0,1.0,0.08529058823529412,0.25386792950300224,63.961693299414655,64.77633431302328,66.62236656869767,0.07882639369488154
37268.0,0.8893250980392157,0.07740274509803922,0.3259306423110191,82.95910700869379,82.90640764194484,85.60692819577118,0.07212030174556554
44127.0,0.9323203921568628,0.06225137254901961,0.37927651148623165,101.14122872617672,95.78462166020803,92.90819679561267,0.041068362031901125
30165.0,0.5544603921568627,0.056195686274509805,0.34960974209169826,89.0185977125808,89.03169235869385,90.71788496602022,0.1256038403280811
43166.0,0.5230721568627451,0.15344627450980391,0.2946199023650604,74.10751517397952,75.29747949775286,76.4550803873419,0.07858758641711264
42858.0,0.9719913725490196,0.13070549019607844,0.29459523975664276,73.46430071398572,75.35003966587335,77.7420784917635,0.05015968372720973
44569.0,0.5773333333333334,0.12454392156862744,0.2953585395810594,72.68457896744374,75.70587179429648,79.20906908389239,0.06835929398278945
